,company_Name,job_title,experience,job_description,job_Link
0,Nice Software Solutions Pvt. Ltd.,Data Analyst,"5 year, 2 year","About the job
The ideal candidate will use their passion for big data and analytics to provide insights to the business covering a range of topics. They will be responsible for conducting both recurring and ad hoc analysis for business users.
Associate (Boot Camp)
Job Location: Nagpur / Pune
Job Type: Train and Hire

Criteria for Train and Hire process:

Selected candidates will have to attend regular in-house training in an effort to maximize proficiency and productivity with our products and services. With the experience gained through this job, you will be able to develop an internal career path and grow within the company.

Desired Candidate Profile
Experience: 2 to 5 years
Looking for interested candidate who are willing to make a career in Business Intelligence.
Should have previous experience in Development or Testing or Production support or SQL+ Admin or any programming language
2+ years of relevant consulting-industry experience working on medium-large scale technology solution delivery engagements.
Excellent Microsoft Office skills including advanced Excel skills
Strong analytical, quantitative, problem solving and organizational skills
Attention to detail and ability to coordinate multiple tasks, set priorities and meet deadlines.",https://www.linkedin.com/jobs/view/3541580664/?alternateChannel=search&refId=W8hGJ3OBlnXepK44MQbO5g%3D%3D&trackingId=Ox5qm0LTqltRA%2BCwpxKPMw%3D%3D&trk=d_flagship3_search_srp_jobs
1,Alp Consulting Ltd.,Data Analyst,Freshers or Not specified,"About the job
Primary skills : (Change in Skillset)

Data Analyst with Tableau/Power BI

Data Analysis and Visualization tools like Tableau, PowerBI

AI/NLP/Machine Learning algorithms

Secondary skills:

Background in Development like Java programming skills",https://www.linkedin.com/jobs/view/3533667670/?alternateChannel=search&refId=W8hGJ3OBlnXepK44MQbO5g%3D%3D&trackingId=h4BwcY8aY2yiq4t86Z4VDw%3D%3D&trk=d_flagship3_search_srp_jobs
2,Schneider Electric,Business Data Analyst,Freshers or Not specified,"About the job
Schneider Electric creates connected technologies that reshape industries, transform cities and enrich lives. Our 135,000+ employees thrive in more than 100 countries. From the simplest of switches to complex operational systems, our technology, software and services improve the way our customers manage and automate their operations. Help us deliver solutions that ensure Life Is On everywhere, for everyone and at every moment.

http://www.youtube.com/watch?v=YtExntUe89c

Great People Make Schneider Electric a Great Company.

Schneider Electric has an exciting full time opportunity for Business Data Analyst, based out of Bangalore, India.

You will be accountable to collect, organize and analyze data across the business to help the leadership make informed decisions and derive data driven action plans.

Responsibilities:
Business Analytics (50%) -
Acquire data from primary or secondary data sources
Mine and analyze datasets, draw valid inferences and interpretations using statistical techniques and provide ongoing reports
Standardize key performance indicator definitions
Develop and propose new metrics to support business initiatives
Experience with data integration will be a plus
Project Management (50%) -
Experience leading data projects and process improvements to create business insights
Define data dashboards, develop mock-ups and document specifications to digitize the dashboards on visualization platforms like Tableau
Acquire and analyze Business needs for analytics simulations, for new or renewal of KPIs or of dashboards
Reformulate those needs as requirements that can be executed by Data teams
Articulate thoughts clearly in verbal and non-verbal forms of communication
Strong problem solving skills and willingness to roll up sleeves to get the job done

Qualifications
Hands-on experience on Database Management (data structing, data normalization, database queries)
Programming experience will be advantageous (Python, R, SQL, Tableau, AWS etc.)
Proficient with Microsoft suite - PowerPoint, excel, word
Bachelors in Engineering (Electronics, Computer Science or allied field) with Masters in Business Analytics or Statistics

Schedule: Full-time

Req: 008BUN",https://www.linkedin.com/jobs/view/3526553258/?alternateChannel=search&refId=W8hGJ3OBlnXepK44MQbO5g%3D%3D&trackingId=Y5oMGyb6AlQbjAZpHqRxlA%3D%3D&trk=d_flagship3_search_srp_jobs
3,UST,Lead II - Software Engineering,Freshers or Not specified,"About the job
Job Description

Role Proficiency:

Act creatively to develop applications by selecting appropriate technical options optimizing application development maintenance and performance by employing design patterns and reusing proven solutions. Account for others' developmental activities; assisting Project Manager in day to day project execution.

Outcomes
Interpret the application feature and component designs to develop the same in accordance with specifications.
Code debug test document and communicate product component and feature development stages.
Validate results with user representatives integrating and commissions the overall solution.
Select and create appropriate technical options for development such as reusing improving or reconfiguration of existing components while creating own solutions for new contexts
Optimises efficiency cost and quality.
Influence and improve customer satisfaction
Influence and improve employee engagement within the project teams
Set FAST goals for self/team; provide feedback to FAST goals of team members
Measures Of Outcomes
Adherence to engineering process and standards (coding standards)
Adherence to project schedule / timelines
Number of technical issues uncovered during the execution of the project
Number of defects in the code
Number of defects post delivery
Number of non compliance issues
Percent of voluntary attrition
On time completion of mandatory compliance trainings
Code

Outputs Expected:
Code as per the design
Define coding standards templates and checklists
Review code – for team and peers
Documentation
Create/review templates
checklists

guidelines

standards for design/process/development
Create/review deliverable documents. Design documentation
Requirements

test cases and results

Configure
Define and govern configuration management plan
Ensure compliance from the team
Test
Review/Create unit test cases
scenarios and execution
Review test plan created by testing team
Provide clarifications to the testing team
Domain Relevance
Advise software developers on design and development of features and components with deeper understanding of the business problem being addressed for the client
Learn more about the customer domain and identify opportunities to provide value addition to customers
Complete relevant domain certifications
Manage Project
Support Project Manager with inputs for the projects
Manage delivery of modules
Manage complex user stories
Manage Defects
Perform defect RCA and mitigation
Identify defect trends and take proactive measures to improve quality
Estimate
Create and provide input for effort and size estimation and plan resources for projects
Manage Knowledge
Consume and contribute to project related documents
share point

libraries and client universities
Review the reusable documents created by the team
Release
Execute and monitor release process
Design
Contribute to creation of design (HLD
LLD

SAD)/architecture for applications

features business components and data models

Interface With Customer
Clarify requirements and provide guidance to Development Team
Present design options to customers
Conduct product demos
Work closely with customer architects for finalizing design
Manage Team
Set FAST goals and provide feedback
Understand aspirations of the team members and provide guidance opportunities etc
Ensure team members are upskilled
Ensure team is engaged in project
Proactively identify attrition risks and work with BSE on retention measures
Certifications
Obtain relevant domain and technology certifications
Skill Examples
Explain and communicate the design / development to the customer
Perform and evaluate test results against product specifications
Break down complex problems into logical components
Develop user interfaces business software components
Use data models
Estimate time and effort resources required for developing / debugging features / components
Perform and evaluate test in the customer or target environments
Make quick decisions on technical/project related challenges
Manage a team mentor and handle people related issues in team
Have the ability to maintain high motivation levels and positive dynamics within the team.
Interface with other teams designers and other parallel practices
Set goals for self and team. Provide feedback for team members
Create and articulate impactful technical presentations
Follow high level of business etiquette in emails and other business communication
Drive conference calls with customers and answer customer questions
Proactively ask for and offer help
Ability to work under pressure determine dependencies risks facilitate planning handling multiple tasks.
Build confidence with customers by meeting the deliverables timely with a quality product.
Estimate time and effort of resources required for developing / debugging features / components
Knowledge Examples
Appropriate software programs / modules
Functional & technical designing
Programming languages – proficient in multiple skill clusters
DBMS
Operating Systems and software platforms
Software Development Life Cycle
Agile – Scrum or Kanban Methods
Integrated development environment (IDE)
Rapid application development (RAD)
Modelling technology and languages
Interface definition languages (IDL)
Broad knowledge of customer domain and deep knowledge of sub domain where problem is solved
Additional Comments

Application developer Experience : 7+ Strong knowledge on OWASP top 10 vulnerabilities & Application Security. Strong understanding on Secure Coding and Best Practices. To review and remediate Security findings from Pentest, vulnerability scan. Manage integration with vulnerability check tools such as Static Code Analysis and Dynamic Code Analysis tools. Expertise in two of the below list (minimum 3yr working experience): # Python # AWS # RDBMS (PostgreSQL / Oracle, etc.) #Web development (DHTML, Jquery, Bootstrap) Good understanding on: * Agile/ Scrum and Project Management tool like Jira * Version Control tools like Git Nice to have: Jenkins , DevOps Good communication skills- position demands direct customer interaction",https://www.linkedin.com/jobs/view/3444620020/?alternateChannel=search&refId=W8hGJ3OBlnXepK44MQbO5g%3D%3D&trackingId=rB6JEfZhF8X83cl4eFs%2BPQ%3D%3D&trk=d_flagship3_search_srp_jobs
4,Labcorp,Programming Lead,Freshers or Not specified,"About the job
Perform the role of the Lead Statistical Programmer
Plan, execute and oversee all programming activities on a study, including but not limited to, resource estimation, working within budget, meeting timelines, maximizing quality, interaction with other departments and the client, etc.
Develop and maintain SAS programs to create SDTM and ADaM datasets and TFLs, and perform QC of SDTM, ADaMs and TFLs
Produce Define XML/PDFs, Analysis Results Metadata (ARM), annotated CRFs and Reviewers Guides to support SDTMs and ADaMs
Develop specifications for SDTMs and ADaM datasets
Review SAPs and TFL shells from a programming perspective for studies
Mentor less-experienced programmers in the processes around SDTMs, ADaMs and TFLs
Present and share knowledge at department meetings
Respond to QA and client audits, and support qualification audits
Identify processes within programming that will increase productivity, quality and efficiency
Labcorp Is Proud To Be An Equal Opportunity Employer

As an EOE/AA employer, Labcorp strives for diversity and inclusion in the workforce and does not tolerate harassment or discrimination of any kind. We make employment decisions based on the needs of our business and the qualifications of the individual and do not discriminate based upon race, religion, color, national origin, gender (including pregnancy or other medical conditions/needs), family or parental status, marital, civil union or domestic partnership status, sexual orientation, gender identity, gender expression, personal appearance, age, veteran status, disability, genetic information, or any other legally protected characteristic. We encourage all to apply.

For more information about how we collect and store your personal data, please see our Privacy Statement.

2275156",https://www.linkedin.com/jobs/view/3498892147/?alternateChannel=search&refId=W8hGJ3OBlnXepK44MQbO5g%3D%3D&trackingId=%2Fd0Wf6b9N7ehpzTFyfUdAw%3D%3D&trk=d_flagship3_search_srp_jobs
5,Equiniti,Senior System Analyst,4 year,"About the job
Management Level

G

About Organization:
EQ is a leading international provider of shareholder, pension, remediation and credit technology. With over 5,000 employees across UK, US, India and Poland, it supports 37 Million people in 120 countries. EQ’s purpose is to care for every customer and simplify every transaction, delivered with less of an impact on the environment.
EQ’ vision is to be the leading global share registrar, offering complementary services to its client base.
Equiniti is a company that has been built with strong values at the very core of our offering. Dealing with some of the most successful companies and government agencies, excellence, integrity, professionalism, partnership, commercial and innovation are therefore at the heart of everything we do.

Core Duties/Responsibilities
Will work as part of a global team working US hours, in the on-going maintenance of complex enterprise solutions, supporting UK operations and services
Will be assigned specific responsibilities typically including, but not limited to:
Handle production incidents and service requests by proactively seeking information and undergo proper RCA of the issue and provide resolutions to issues.
Should have a good analytical and problem-solving skills.
Ensure SLA Compliance & meeting of KPIs
Reporting of status to offshore stakeholders
Liaise with onshore and offshore resources on Technical/Functional issues and queries.
Should understand and act based on the SOP, functional design and technical design documents
Should be a team player with good interpersonal skills and a drive to take ownership of and responsibility for the tasks assigned to you.
Can rapidly absorb new technical information and apply it effectively.
Highly flexible, including willingness to work away from home base and out of hours.
A good team player capable of delivering results as part of a team spanning multiple sites.
Should strictly follow the Equiniti coding standard
Deliver the assigned tasks on time with expected quality and not allowing impediments to delay delivery.

Skills, Knowledge & Experience
BE/ME/MCA/M.Sc. Computer Science with excellent track record.
Should have an overall 4+ years of experience in developing application on Microsoft .Net platform using C#.
Should be a team player with good interpersonal skills and a drive to take ownership of and responsibility for the tasks assigned to you.
Should exhibit leadership qualities and preferably led a team of some size.
Should have appropriate level of expertise of using several of the following technologies:
.Net Framework 4.5 or higher
WCF / Web Services
SQL Server 2019
Microsoft Visual Studio 2019
Azure Dev Ops (Team Foundation Server)
Knowledge of Design Patterns
MCAD / MCTS / MCPD Certification
Able to work under general direction within a clear framework of accountability.
Able to deliver work that meets the time and quality targets.

EQ India Benefits

Being a permanent member of the team at EQ you will be rewarded by our company benefits, these are just a few of what is on offer:
31 days + 8 bank holidays (UK)
Comprehensive Medical & Life Assurance cover
Maternity leave of 6 months full pay, 10days paid paternity leave
Long Term Incentive Plan(LTIP) for all colleagues
Accidental & Life cover 3 times of concerned CTC

We are committed to equality of opportunity for all staff and applications from individuals are encouraged regardless of age, disability, sex, gender reassignment, sexual orientation, pregnancy and maternity, race, religion or belief and marriage and civil partnerships. Please note any offer of employment is subject to satisfactory pre-employment screening checks.",https://www.linkedin.com/jobs/view/3510548018/?alternateChannel=search&refId=W8hGJ3OBlnXepK44MQbO5g%3D%3D&trackingId=rLwW9rSfKY2Vizf4l936MQ%3D%3D&trk=d_flagship3_search_srp_jobs
6,Anthology Inc,Senior System Engineer,3 year,"About the job
Job Description

Senior System Engineer

Bangalore, India

The Opportunity

Anthology offers the largest EdTech ecosystem on a global scale, supporting over 150 million users in 80 countries. Our mission is to provide dynamic, data-informed experiences to the global education community so that learners and educators can achieve their goals.

We believe in the power of a truly diverse and inclusive workforce. As we expand globally, we are committed to making diversity, inclusion, and belonging a foundational part of not only our hiring practices but who we are as a company.

For more information about Anthology and our career opportunities, please visit www.anthology.com .

Anthology is the industry leader in developing web-based learning platforms for the educational community. Our Product Support team has a proven track record of delivering high quality technical support to our customer base. We are looking for a motivated, technically-savvy and customer service-oriented Senior System Engineer to join our Technical Support team.

The Candidate

Required skills/qualifications:
Strong problem solving and troubleshooting skills
Ability to work independently with minimum supervision
Ability to respond rapidly and professionally to problems originating from customers
Strong written and oral communication skills
Strong telephone and interpersonal contact skills

Preferred Skills/qualifications

2-3 years’ experience performing end user support

The Office

We have an office in the Silicon Valley of India: Bangalore.
Located adjacent to Bangalore’s new metro system
Brand new office space boasts an open, modern vibe
Office space provides collaboration area for casual gatherings as well as office cabins for privacy when needed
Office has a tuck shop for quick snacks, free coffee, and vending machines
Habba committee and monthly employee engagement activities provide opportunities for fun and celebration at work

This job description is not designed to contain a comprehensive listing of activities, duties, or responsibilities that are required. Nothing in this job description restricts management's right to assign or reassign duties and responsibilities at any time.

Anthology is an equal employment opportunity/affirmative action employer and considers qualified applicants for employment without regard to race, gender, age, color, religion, national origin, marital status, disability, sexual orientation, gender identity/expression, protected military/veteran status, or any other legally protected factor.",https://www.linkedin.com/jobs/view/3536246245/?alternateChannel=search&refId=W8hGJ3OBlnXepK44MQbO5g%3D%3D&trackingId=33JeQ%2Bai6pDVN4GhWL0ylw%3D%3D&trk=d_flagship3_search_srp_jobs
7,Virtusa,Pega Decision Architect,"3 year, 5 year","About the job
The Senior Decisioning Architect (SDA) requires strong experience defining decision architecture, solutions & designs for Pega Decisioning and Pega Marketing. You will have solid end to end experience defining solutions, designs, and implementations in Customer Marketing, Contact Strategy, Segmentation, Adaptive Modelling, and Campaign Management - Inbound and Outbound.
This role will work as part of a project team to
ensure that the business and decision architecture of the delivered solution
matches customer requirements. The client will take full advantage of your
consistently demonstrated knowledge of industry standard project delivery
frameworks including Agile, Waterfall & Scrum.
You will have the ability to contribute to the
decision design process and socialize the decision design details and tasks to
wider team and stakeholders.
Communicating decisioning concepts and benefits to
multiple stakeholders ranging from marketing heads and vice presidents to the
operational team is essential. The client will need confidence the decision
lead knows what they are doing and is an effective leader.
In this role, you will be called upon to effectively
troubleshoot technical issues as they arise during the project lifecycle.
Mentoring more junior SDA and DA team members on on-going basis is a must.
Qualifications:
·
A highly
technical, hands-on, motivated, and collaborative individual with exceptional
communication skills and proven experience working with diverse teams of
technical architects, business users and IT teams in customer organizations on
all phases of the software development life-cycle. Senior Decisioning
Architects must have the ability to learn complex material quickly and manage
multiple projects and deliverables simultaneously.
·
Circa 5+ years
of progressive Pega experience in building and implementing model-driven,
enterprise-level business solutions and application.
·
Circa 3+ years
of Pega experience in Pega Decisioning is mandatory
·
Certified Pega
Decisioning Consultant certification is mandatory. (Pega 8 badge preferred)",https://www.linkedin.com/jobs/view/3494038557/?alternateChannel=search&refId=W8hGJ3OBlnXepK44MQbO5g%3D%3D&trackingId=9aSEW9oHP9D8hqnIKiHHaQ%3D%3D&trk=d_flagship3_search_srp_jobs
8,Alp Consulting Ltd.,Data Analyst,Freshers or Not specified,"About the job
Position Title

Data Analyst

Role: Business/Data Analyst.

You thrive on data and providing key business insights based on analysing multiple data sources using business intelligence tools. You take initiative to identify what the business should be tracking and evaluating. You are able to think through problems and make actionable recommendations. You are detail-oriented professional, who understands the difference between collecting data and providing actionable insights and manage multiple simultaneous projects and prioritize tasks based on project deadlines and business needs.

Qualifications: BE/BTECH

Advanced Excel, VBA and Power BI skills.

Familiarity with SFDC Views and Reports.

Knowledge of SAP

Ability to answer key business questions using data and metrics

Comfortable working in a rapidly growing environment.

Effective, clear, and concise communication skills (verbal and written)",https://www.linkedin.com/jobs/view/3517977460/?alternateChannel=search&refId=W8hGJ3OBlnXepK44MQbO5g%3D%3D&trackingId=%2BJnsCrXq%2BkBY6WU0xRx5BA%3D%3D&trk=d_flagship3_search_srp_jobs
9,Kia India,Data Analyst,5 year,"About the job
The ideal candidate will use their passion for big data and analytics to provide insights to the business covering a range of topics. They will be responsible for conducting both recurring and ad hoc analysis for business users.

Responsibilities
Understand the day-to-day issues that our business faces, which can be better understood with data
Compile and analyze data related to business' issues
Develop clear visualizations to convey complicated data in a straightforward fashion
To deal with CRM, DMS, and Connected cars data.
Should handle large scaled data using the Bigdata Technologies such as Apache Spark.
After understanding the business needs, need to perform EDA with the business teams.
Perform in-depth analyses based on statistics and machine learning of business metrics.
After the analysis, the analysis model to be developed with Ad-hoc dashboard.
Big Data center of Kia India has technical skill set:
Apache Hadoop and Ecosystem like Spark, Dataflow, Jupyter, Metabase, Superset, Nifi (On-premise)
Mandatory Python and SQL, Optional R, AWS (Future Environment)

Qualifications
Bachelor's or Master's degree in Statistics or Applied Mathematics or B.Tech or equivalent
2 - 5 years' Data Analysis experience
Proficient in SQL",https://www.linkedin.com/jobs/view/3542594285/?alternateChannel=search&refId=W8hGJ3OBlnXepK44MQbO5g%3D%3D&trackingId=G%2B4tSj3DcRU4cK5el9AP8A%3D%3D&trk=d_flagship3_search_srp_jobs
